Date,HFRIFOF,HFRIFWI,SPTR,LBUSTRUU,LEGATRUU,LF93TRUU,USGG10YR
12/31/1989," 1,000.000 "," 1,000.000 ", 379.409 , 397.200 ,,, 7.840 
1/31/1990," 1,000.700 ", 978.900 , 353.937 , 392.480 , 98.656 ,, 8.210 
2/28/1990," 1,014.109 ", 993.975 , 358.496 , 393.750 , 98.143 ,, 8.470 
3/31/1990," 1,035.101 "," 1,025.882 ", 367.995 , 394.040 , 97.624 ,, 8.590 
4/30/1990," 1,044.314 "," 1,025.471 ", 358.815 , 390.430 , 97.114 ,, 8.790 
5/31/1990," 1,049.222 "," 1,056.748 ", 393.801 , 401.990 , 100.195 ,, 8.760 
6/30/1990," 1,072.410 "," 1,078.940 ", 391.144 , 408.440 , 102.050 ,, 8.480 
7/31/1990," 1,105.333 "," 1,095.124 ", 389.890 , 414.090 , 104.732 ,, 8.470 
8/31/1990," 1,123.350 "," 1,057.342 ", 354.648 , 408.560 , 103.677 ,, 8.750 
9/30/1990," 1,155.253 "," 1,036.618 ", 337.388 , 411.940 , 104.641 ,, 8.890 
10/31/1990," 1,174.199 "," 1,036.204 ", 335.952 , 417.170 , 107.956 ,, 8.720 
11/30/1990," 1,174.199 "," 1,043.975 ", 357.668 , 426.150 , 109.933 ,, 8.390 
12/31/1990," 1,175.256 "," 1,058.069 ", 367.631 , 432.790 , 111.219 ,, 8.080 
1/31/1991," 1,179.839 "," 1,085.473 ", 383.642 , 438.140 , 113.618 ,, 8.090 
2/28/1991," 1,179.486 "," 1,129.109 ", 411.078 , 441.880 , 114.166 ,, 7.850 
3/31/1991," 1,221.003 "," 1,185.000 ", 421.032 , 444.920 , 111.700 ,, 8.110 
4/30/1991," 1,210.869 "," 1,200.879 ", 422.029 , 449.740 , 112.976 ,, 8.040 
5/31/1991," 1,220.193 "," 1,224.656 ", 440.236 , 452.370 , 113.334 ,, 8.070 
6/30/1991," 1,234.591 "," 1,229.677 ", 420.067 , 452.140 , 112.396 ,, 8.280 
7/31/1991," 1,240.887 "," 1,261.895 ", 439.646 , 458.410 , 114.525 ,, 8.270 
8/31/1991," 1,257.143 "," 1,287.890 ", 450.062 , 468.330 , 116.867 ,, 7.900 
9/30/1991," 1,279.269 "," 1,317.769 ", 442.530 , 477.820 , 120.708 ,, 7.650 
