Date,HFRIFOF,HFRIFWI,SPTR,LBUSTRUU,LEGATRUU,LF93TRUU,USGG10YR
12/31/1989,1000,1000,379.409,397.2,#N/A,#N/A,7.84
1/31/1990,1000.7,978.9,353.937,392.48,98.6557,#N/A,8.21
2/28/1990,1014.1094,993.975,358.496,393.75,98.1434,#N/A,8.47
3/31/1990,1035.1014,1025.882,367.995,394.04,97.6235,#N/A,8.59
4/30/1990,1044.3138,1025.471,358.815,390.43,97.1139,#N/A,8.79
5/31/1990,1049.2221,1056.748,393.801,401.99,100.1953,#N/A,8.76
6/30/1990,1072.4099,1078.94,391.144,408.44,102.0496,#N/A,8.48
7/31/1990,1105.3329,1095.124,389.89,414.09,104.7318,#N/A,8.47
8/31/1990,1123.3498,1057.342,354.648,408.56,103.6773,#N/A,8.75
9/30/1990,1155.253,1036.618,337.388,411.94,104.6409,#N/A,8.89
10/31/1990,1174.1991,1036.204,335.952,417.17,107.9561,#N/A,8.72
11/30/1990,1174.1991,1043.975,357.668,426.15,109.9325,#N/A,8.39
12/31/1990,1175.2559,1058.069,367.631,432.79,111.2186,#N/A,8.08
1/31/1991,1179.8394,1085.473,383.642,438.14,113.6177,#N/A,8.09
2/28/1991,1179.4855,1129.109,411.078,441.88,114.1656,#N/A,7.85
3/31/1991,1221.0033,1185,421.032,444.92,111.7002,#N/A,8.11
4/30/1991,1210.869,1200.879,422.029,449.74,112.9759,#N/A,8.04
5/31/1991,1220.1927,1224.656,440.236,452.37,113.3341,#N/A,8.07
6/30/1991,1234.591,1229.677,420.067,452.14,112.3961,#N/A,8.28
7/31/1991,1240.8874,1261.895,439.646,458.41,114.5245,#N/A,8.27
8/31/1991,1257.143,1287.89,450.062,468.33,116.8673,#N/A,7.9
9/30/1991,1279.2687,1317.769,442.53,477.82,120.7083,#N/A,7.65
10/31/1991,1287.0723,1341.884,448.48,483.14,122.1464,#N/A,7.53
11/30/1991,1287.7158,1345.507,430.409,487.57,123.6464,#N/A,7.42
12/31/1991,1345.663,1398.655,479.633,502.05,129.0565,#N/A,7.09
1/31/1992,1363.4258,1452.363,470.695,495.22,127.0646,#N/A,7.03
2/29/1992,1379.2415,1483.444,476.791,498.44,127.0592,#N/A,7.34
3/31/1992,1390.2754,1492.196,467.518,495.63,125.9713,#N/A,7.54
4/30/1992,1391.9438,1496.672,481.245,499.21,126.7909,#N/A,7.48
5/31/1992,1395.8412,1524.211,483.604,508.63,130.3797,#N/A,7.39
6/30/1992,1401.9829,1517.962,476.409,515.63,133.3482,#N/A,7.26
7/31/1992,1413.4792,1549.536,495.872,526.15,136.0934,#N/A,6.84
8/31/1992,1420.1225,1545.352,485.723,531.48,138.9829,#N/A,6.59
9/30/1992,1455.4836,1575.332,491.431,537.78,139.4692,#N/A,6.42
10/31/1992,1480.2268,1608.571,493.129,530.65,136.3422,#N/A,6.59
11/30/1992,1484.6675,1653.611,509.92,530.77,135.0507,#N/A,6.87
12/31/1992,1511.54,1695.447,516.178,539.21,136.5434,#N/A,6.77
1/31/1993,1524.6904,1734.782,520.494,549.55,138.8869,#N/A,6.6
2/28/1993,1558.2335,1758.028,527.587,559.17,141.0801,#N/A,6.26
3/31/1993,1581.7629,1811.824,538.719,561.5,142.6107,#N/A,5.98
4/30/1993,1618.1434,1838.82,525.698,565.41,144.6551,#N/A,5.97
